-5.203349515795707703e-03,3.129234164953231812e-02,2.456597867421805859e-04,-2.637221768964082003e-05,3.494434291496872902e-03,-2.525215502828359604e-03,8.592019730713218451e-05,1.040955659715390835e+00,1.168294587844350696e+00,3.773931641367583162e-02
-4.108089208602905273e-02,-3.400694578886032104e-02,-3.240654990077018738e-02,1.031799148768186569e-02,3.524100035429000854e-02,-1.742380671203136444e-02,1.119351536035537720e-01,2.218616771385599762e+00,2.056635979366295608e+00,2.414324079272168189e-01
1.167104616761207581e-01,-2.636920846998691559e-02,-2.658565528690814972e-02,-2.492714114487171173e-02,-1.653339527547359467e-02,2.355219796299934387e-02,1.178900804370641708e-02,1.946504764846342495e+00,1.970884107677875807e+00,2.047403573641780883e-01
-3.650647029280662537e-02,-4.990577232092618942e-03,1.051754108630120754e-03,9.874956682324409485e-03,-3.159103915095329285e-02,-4.777885507792234421e-03,1.444867928512394428e-03,1.755596772636930814e+00,1.998674440552441256e+00,1.954939018768088177e-01
-1.009394600987434387e-02,2.394753880798816681e-02,-3.437062352895736694e-02,-7.339152693748474121e-02,-2.537309192121028900e-03,3.301688656210899353e-02,-1.170267350971698761e-02,1.909448478212927069e+00,2.435078328952031246e+00,2.305511505105942160e-01
5.374629795551300049e-02,-3.665002062916755676e-02,1.214706222526729107e-03,6.521359551697969437e-03,-1.674308878136798739e-04,1.244187005795538425e-03,-3.935794346034526825e-03,1.612004175666042149e+00,1.753442247095713835e+00,1.829500194845358196e-01
-2.030905894935131073e-02,-1.885370910167694092e-02,-2.387010678648948669e-02,-4.556391015648841858e-02,-1.198380021378397942e-03,-1.524212956428527832e-02,8.801672607660293579e-02,1.994664701957248321e+00,2.184638733316559112e+00,1.990911890135531603e-01
-2.511700801551342010e-02,-2.140456065535545349e-02,4.230313375592231750e-02,5.487849004566669464e-03,-2.798369340598583221e-02,2.674921602010726929e-02,2.549081481993198395e-02,1.953001915481828998e+00,1.876463249673837819e+00,2.560208949599518391e-01
-1.953106187283992767e-02,-7.169815362431108952e-04,-1.524477731436491013e-02,-9.056486189365386963e-03,6.666432321071624756e-02,8.743561804294586182e-02,4.035790450870990753e-03,1.800158672975920027e+00,2.320350276591570005e+00,2.581621337476746048e-01
9.962418675422668457e-02,-2.781916595995426178e-02,1.745487796142697334e-03,2.537209168076515198e-02,3.327348828315734863e-02,-1.596537604928016663e-02,4.616170772351324558e-04,1.892861405989449297e+00,1.822705728309892859e+00,2.549164768387695013e-01
-4.991066455841064453e-02,-5.307093635201454163e-02,1.762964390218257904e-02,-7.155938446521759033e-02,-1.139857992529869080e-02,1.421616040170192719e-02,-3.782881796360015869e-02,1.986486007278246202e+00,2.193776153506634685e+00,2.066804406704580988e-01
-1.445817016065120697e-02,4.771080799400806427e-03,-7.023855298757553101e-02,-5.119408667087554932e-02,-3.095767169725149870e-04,7.290920615196228027e-02,-9.861454367637634277e-03,1.724287624299356336e+00,2.483553738132092903e+00,2.438564996350789382e-01
1.284556929022073746e-02,3.800319135189056396e-02,1.490644295699894428e-03,7.801195606589317322e-03,-2.626891247928142548e-02,-5.755695048719644547e-03,8.407242596149444580e-03,1.208361766241911939e+00,2.040521219208526471e+00,1.250714150077475162e-01
-2.771750278770923615e-02,-3.408763185143470764e-02,-1.144806668162345886e-02,2.371726371347904205e-02,3.464938327670097351e-02,-1.401420217007398605e-02,-2.879715710878372192e-02,2.163020482980330783e+00,1.707487951090978839e+00,2.579491405590502717e-01
-2.740163356065750122e-02,-2.668890357017517090e-02,-2.352377027273178101e-02,-5.871013551950454712e-02,-1.662082411348819733e-02,-1.543418038636445999e-04,1.691400445997714996e-02,1.922877778712513308e+00,2.234398727854103761e+00,1.940542047975980788e-01
3.054501675069332123e-02,3.544522449374198914e-02,2.647670172154903412e-02,-3.489805012941360474e-02,-1.370413322001695633e-02,-1.126340404152870178e-02,1.374889630824327469e-03,1.834834179001167298e+00,1.888288320795979525e+00,2.215350371750251512e-01
-3.381985798478126526e-02,-3.885538503527641296e-02,5.972989276051521301e-02,-4.246924445033073425e-02,5.402379669249057770e-03,4.508567973971366882e-03,-1.796625554561614990e-02,1.933758090339956937e+00,2.045175527358249479e+00,2.195830110705732086e-01
