-4.618346225470304489e-03,4.018401727080345154e-02,4.412662237882614136e-03,2.068236703053116798e-03,1.809813431464135647e-03,-2.625857247039675713e-03,1.945072290254756808e-04
-4.160488396883010864e-02,-4.109484702348709106e-02,-1.462033297866582870e-02,2.144964039325714111e-02,-1.506492262706160545e-03,-4.991721827536821365e-03,3.398449346423149109e-02
1.100148633122444153e-01,-1.910137385129928589e-02,-9.602391161024570465e-03,-4.380886629223823547e-02,1.479453034698963165e-02,-2.675909176468849182e-02,2.296013943850994110e-02
-3.603724390268325806e-02,-7.908176630735397339e-03,-4.008993133902549744e-02,-7.109737023711204529e-03,-2.781085669994354248e-02,8.496709167957305908e-03,-1.199227105826139450e-02
-4.520001355558633804e-03,2.149980887770652771e-02,-6.351126939989626408e-04,-2.320846728980541229e-02,-7.067182101309299469e-03,-3.469600528478622437e-02,1.674820668995380402e-02
5.124507471919059753e-02,-4.272468015551567078e-02,-7.559111341834068298e-03,1.005538925528526306e-02,-2.112462930381298065e-02,1.199839729815721512e-02,-3.527946770191192627e-03
-2.076337300240993500e-02,-2.577539905905723572e-02,-2.145746909081935883e-02,1.168743707239627838e-02,5.130124278366565704e-03,-3.417484462261199951e-02,3.018685244023799896e-02
-2.211198583245277405e-02,-1.750264316797256470e-02,-3.029909171164035797e-02,3.553915023803710938e-02,6.259943358600139618e-03,6.514288950711488724e-03,2.563983574509620667e-02
-1.749991439282894135e-02,1.483969204127788544e-02,2.374817430973052979e-02,-2.183886617422103882e-02,-3.554421290755271912e-02,-2.410108782351016998e-02,5.120856687426567078e-02
9.322527050971984863e-02,-2.383853308856487274e-02,1.691704615950584412e-02,2.851063571870326996e-02,-4.331203550100326538e-02,2.148718945682048798e-02,1.397815067321062088e-02
-4.806985706090927124e-02,-4.284710437059402466e-02,-8.451892063021659851e-04,-1.122100651264190674e-02,-7.768745068460702896e-03,-5.586481466889381409e-02,-4.228650592267513275e-03
-1.246519759297370911e-02,6.113887298852205276e-03,1.319543225690722466e-04,-3.117425180971622467e-02,-2.554952725768089294e-02,-3.259799629449844360e-02,3.984655439853668213e-02
1.160940434783697128e-02,4.005200788378715515e-02,-3.648222237825393677e-02,3.756217891350388527e-03,-7.117373403161764145e-03,1.193421334028244019e-02,-4.455138463526964188e-03
-2.646423876285552979e-02,-2.965988032519817352e-02,2.842298895120620728e-02,-2.465976960957050323e-02,-1.537599414587020874e-02,1.317575760185718536e-02,-2.935835719108581543e-02
-2.610567584633827209e-02,-2.455673366785049438e-02,-1.414125878363847733e-02,-6.014484912157058716e-03,-1.077617984265089035e-03,-4.278784990310668945e-02,1.265521626919507980e-02
3.484702110290527344e-02,3.817985951900482178e-02,-3.501347824931144714e-02,3.118527680635452271e-02,-4.264985769987106323e-02,-4.360171407461166382e-02,-2.428873628377914429e-02
-2.971342764794826508e-02,-2.035997435450553894e-02,-1.070586778223514557e-02,1.270166784524917603e-02,-2.830791473388671875e-02,-5.937265977263450623e-02,-2.305928803980350494e-02
9.707991965115070343e-03,2.675811201333999634e-02,4.481068253517150879e-02,3.196137771010398865e-02,-8.660533465445041656e-03,-9.909545071423053741e-03,-3.067620098590850830e-02
9.167478233575820923e-02,-2.713455632328987122e-02,-8.902508765459060669e-03,-2.782837860286235809e-02,2.087205462157726288e-02,-1.282608136534690857e-02,8.206495083868503571e-03
-9.179100394248962402e-03,-2.747185295447707176e-03,1.842765323817729950e-02,-2.877820469439029694e-02,-2.193281799554824829e-02,-3.325062990188598633e-02,3.542000800371170044e-02
2.448893897235393524e-02,5.142495781183242798e-02,-2.228346094489097595e-02,-1.797557575628161430e-03,-1.314929313957691193e-02,1.798996888101100922e-02,2.290631877258419991e-03
-1.080780196934938431e-02,3.147477284073829651e-02,-2.019090577960014343e-02,-1.173759717494249344e-02,-1.458959840238094330e-02,-8.950145915150642395e-03,2.069234475493431091e-02
1.212791576981544495e-01,-2.884429693222045898e-02,-1.847974210977554321e-02,-4.889787733554840088e-02,1.848162151873111725e-02,-6.154100876301527023e-03,1.024773530662059784e-02
6.225301697850227356e-02,-2.855520462617278099e-03,-3.484342619776725769e-02,4.576224088668823242e-02,-6.000995263457298279e-02,-7.609562017023563385e-03,-1.890057139098644257e-02
5.808620154857635498e-02,-1.087594777345657349e-02,4.760117270052433014e-03,5.020607635378837585e-02,-5.097539350390434265e-02,-1.405944494763389230e-04,-2.122255787253379822e-02
-4.155176877975463867e-02,-2.657173573970794678e-02,3.085374832153320312e-02,-1.959894783794879913e-02,-2.232958935201168060e-02,2.386776916682720184e-02,-4.162003751844167709e-03
-2.466595545411109924e-02,2.420909889042377472e-02,-1.521219685673713684e-02,-1.212466321885585785e-02,-2.968659251928329468e-02,5.343307275325059891e-03,3.439743444323539734e-02
5.715874210000038147e-02,1.952179893851280212e-02,1.200196146965026855e-02,-2.201812900602817535e-02,-2.555929683148860931e-02,-2.731593698263168335e-02,3.907872363924980164e-02
1.169439312070608139e-02,5.188947170972824097e-02,-2.425324544310569763e-02,1.449379487894475460e-03,-1.437107659876346588e-02,2.223301306366920471e-02,5.358621710911393166e-04
-4.262684378772974014e-03,1.405362039804458618e-02,-1.782515202648937702e-03,-2.643905207514762878e-02,-1.792800240218639374e-02,-2.541269361972808838e-02,2.694819867610931396e-02
-3.483543545007705688e-02,-3.929099068045616150e-02,1.138036488555371761e-03,-1.211261749267578125e-02,-9.107819758355617523e-03,-1.356113888323307037e-02,1.987748313695192337e-03
-2.362598665058612823e-02,-2.468772232532501221e-02,-1.437465474009513855e-02,-1.024492830038070679e-02,-8.523833006620407104e-03,-1.549087371677160263e-02,3.866896498948335648e-03
-2.453264407813549042e-02,7.373764645308256149e-03,-4.866933822631835938e-02,-1.718977093696594238e-02,-3.442068397998809814e-02,6.483462173491716385e-03,-1.964564807713031769e-02
-2.794099040329456329e-03,1.418237760663032532e-02,3.476261720061302185e-02,2.592608705163002014e-02,-9.596069343388080597e-03,-2.119352854788303375e-02,-3.430171310901641846e-02
-4.595554620027542114e-02,-3.570296615362167358e-02,-2.060570567846298218e-02,6.899855565279722214e-03,-5.263630300760269165e-03,-2.021073829382658005e-03,1.325899828225374222e-02
-1.201638486236333847e-02,-4.882547073066234589e-03,3.522160928696393967e-03,-6.725418497808277607e-04,-7.463107351213693619e-03,-6.052630394697189331e-02,-2.245686948299407959e-02
-3.076667711138725281e-02,-3.096645884215831757e-02,-9.920494630932807922e-03,-1.074659172445535660e-02,-3.408207092434167862e-03,-5.136286467313766479e-02,3.897864837199449539e-03
6.360530108213424683e-02,9.509660303592681885e-03,4.090252891182899475e-02,3.984201326966285706e-02,-1.393446605652570724e-02,6.156855262815952301e-03,-3.645983524620532990e-03
-4.398402944207191467e-02,-3.729869425296783447e-02,-1.782511733472347260e-02,2.411450259387493134e-02,-3.531738475430756807e-04,-9.939382784068584442e-03,3.604650497436523438e-02
2.693366445600986481e-02,8.445748127996921539e-03,-4.164496809244155884e-02,7.167033851146697998e-03,3.735308535397052765e-03,-2.651148242875933647e-04,7.727019255980849266e-04
1.668777689337730408e-02,6.664186716079711914e-02,-1.799690164625644684e-02,-3.753141034394502640e-03,-1.025551650673151016e-02,6.996459327638149261e-03,1.127231121063232422e-02
-2.836188673973083496e-02,1.491449121385812759e-02,-2.144200168550014496e-02,-1.765247620642185211e-02,-2.986262738704681396e-02,2.266655862331390381e-02,-1.298739947378635406e-02
